collection,task_ID,description,dtype,expression,name,scientific_field,support
SynEq,syneq_300,Unbiased expression of complexity 4,float,sqrt(x_0) - 2*x_1,syneq_1268,Others,"[[1.010103861229041e-10, 1001.010101010101], [-998.989898989899, 1001.010101010101]]"
SynEq,syneq_301,Unbiased expression of complexity 8,float,log(x_0) + log(x_0)/(-x_1 + sqrt(log(x_0))),syneq_1269,Others,"[[1.0000000001010105, 527.4062286558474], [2.5035916370264886, 1001.010101010101]]"
SynEq,syneq_302,Unbiased expression of complexity 5,float,-sqrt(x_0) + cos(x_0 - 4.8366),syneq_127,Others,"[[1.010103861229041e-10, 1001.010101010101]]"
SynEq,syneq_303,Unbiased expression of complexity 12,float,(x_0**(1/4) + x_0 + 1.93918)/((x_0**(1/4) + x_0)*(sqrt(x_0) + x_0)),syneq_1270,Others,"[[1.010103861229041e-10, 1001.010101010101]]"
SynEq,syneq_304,Unbiased expression of complexity 4,float,cos(x_0 - sqrt(x_1)),syneq_1271,Others,"[[-998.989898989899, 1001.010101010101], [1.010103861229041e-10, 1001.010101010101]]"
SynEq,syneq_305,Unbiased expression of complexity 13,float,2*x_0*log(x_0) + sin(log(x_0)) + (x_0*log(x_0) + sin(log(x_0)))/x_0,syneq_1272,Others,"[[1.010103861229041e-10, 1001.010101010101]]"
SynEq,syneq_306,Unbiased expression of complexity 4,float,exp(x_0 + x_1)*log(x_2),syneq_1273,Others,"[[-998.989898989899, 11.02010101010101], [-998.989898989899, 11.02010101010101], [1.0101038611888069e-10, 992.010101010101]]"
SynEq,syneq_307,Unbiased expression of complexity 13,float,log(-0.862403183439948*x_2*sin(x_1) + 0.137596816560052*sin(x_1) + (8.26761*x_0 - x_2 + 7.26761)/(7.26761 - x_2)),syneq_1274,Others,"[[-193.44251404, 900.0], [-100.30102099999999, -97.63567688999997], [-1100.0, -68.999999]]"
SynEq,syneq_308,Unbiased expression of complexity 5,float,sqrt(x_0)/(x_1 + 4.1965/x_1),syneq_1275,Others,"[[6.745040082023479e-10, 884.6729702975953], [-538.9679325767479, -9.154632607533131e-10]]"
SynEq,syneq_309,Unbiased expression of complexity 12,float,x_1**2*(-2.11466*x_0*x_2 + x_2)*(-2.11466*sqrt(cos(x_2)) - 2.11466),syneq_1276,Others,"[[-231.41210203, 231.9211135099999], [-220.00000111, 220.000001], [-102.10176124, -98.96016858999994]]"
SynEq,syneq_310,Unbiased expression of complexity 11,float,exp(cos(x_0)) - sqrt(cos(x_0)) + cos(x_0) + 1/cos(x_0),syneq_1277,Others,"[[-102.10176124, -98.96016858999994]]"
SynEq,syneq_311,Unbiased expression of complexity 8,float,(x_0/x_1 + log(x_0)*sin(x_2)/x_0)*sin(x_2),syneq_1278,Others,"[[1.010101038612291e-08, 1001.010101010101], [-998.989898989899, 1001.010101010101], [-998.989898989899, 1001.010101010101]]"
SynEq,syneq_312,Unbiased expression of complexity 11,float,(x_0*x_2 + x_1)/((2*x_0*x_2 - sqrt(x_1) + x_1)*cos(x_1)),syneq_1279,Others,"[[-998.989898989899, 1001.010101010101], [1.010103861229041e-10, 1001.010101010101], [-998.989898989899, 1001.010101010101]]"
SynEq,syneq_313,Unbiased expression of complexity 6,float,-x_0**(5/2) + cos((x_0 - x_1)/x_1),syneq_128,Others,"[[1.010103861229041e-10, 1001.010101010101], [-998.989898989899, 1001.010101010101]]"
SynEq,syneq_314,Unbiased expression of complexity 10,float,(-0.193860439869338*log(x_0) - 5.15835)/(-5.15835*x_0 + 1.19386043986934*log(x_0) + 26.6085747225),syneq_1280,Others,"[[6.605344885829197, 519.0892760565719]]"
SynEq,syneq_315,Unbiased expression of complexity 4,float,log(x_0) - log(x_0)/x_0,syneq_1281,Others,"[[1.010101038612291e-08, 1001.010101010101]]"
SynEq,syneq_316,Unbiased expression of complexity 14,float,sqrt(x_0) - x_0*(sqrt(x_0) + 2*x_0)*log(sqrt(x_0)) + 2*x_0,syneq_1282,Others,"[[1.010103861229041e-10, 1001.010101010101]]"
SynEq,syneq_317,Unbiased expression of complexity 14,float,sqrt(x_0)*(sqrt(x_0) - 0.32632)*(sin(cos(x_0 + x_1)) + 0.32632)/sin(x_0 + x_1),syneq_1283,Others,"[[1.010103861229041e-10, 1001.010101010101], [-998.989898989899, 1001.010101010101]]"
SynEq,syneq_318,Unbiased expression of complexity 12,float,x_0*(log(cos(x_0)) - sin(x_0))/sin(x_0) + (x_0 + sin(x_0))*cos(x_0),syneq_1284,Others,"[[-102.10176124, -101.84090858990967]]"
SynEq,syneq_319,Unbiased expression of complexity 8,float,x_0 + (x_0 - log(x_0))/x_1 + 0.0377326315708417*exp(-x_0)/x_1,syneq_1285,Others,"[[1.010103861229041e-10, 1001.010101010101], [-998.989898989899, 1001.010101010101]]"
SynEq,syneq_320,Unbiased expression of complexity 12,float,(-sqrt(x_0)*sqrt(1/x_1) + log(x_1))*log(x_1)/(x_0 + x_1),syneq_1286,Others,"[[1.010103861229041e-10, 1001.010101010101], [1.010103861229041e-10, 1001.010101010101]]"
SynEq,syneq_321,Unbiased expression of complexity 14,float,sqrt(1/x_1)*exp(x_0) - cos(exp(x_0)) - exp(x_0)/x_1 + exp(x_0)/x_0,syneq_1287,Others,"[[-998.989898989899, 22.578456450101047], [9.101010101038616e-05, 1001.010101010101]]"
SynEq,syneq_322,Unbiased expression of complexity 4,float,1.0*sqrt(x_0) - 0.350831333879554,syneq_1288,Others,"[[1.010103861229041e-10, 1001.010101010101]]"
SynEq,syneq_323,Unbiased expression of complexity 5,float,1.09503556103567*sqrt(x_0) - x_1/x_0,syneq_1289,Others,"[[1.010101038612291e-08, 1001.010101010101], [-998.989898989899, 1001.010101010101]]"
SynEq,syneq_324,Unbiased expression of complexity 9,float,(0.172527720891554*sqrt(x_2) - 0.172527720891554*x_2 - 0.999999999999999 - 0.345055441783108/x_0)/x_1,syneq_129,Others,"[[-998.989898989899, 1001.010101010101], [-998.989898989899, 1001.010101010101], [1.010103861229041e-10, 1001.010101010101]]"
SynEq,syneq_325,Unbiased expression of complexity 10,float,x_0*(x_0 + x_1) + x_0*log(x_0)*log(x_1)**2 + log(x_0),syneq_1290,Others,"[[1.010103861229041e-10, 1001.010101010101], [1.010103861229041e-10, 1001.010101010101]]"
SynEq,syneq_326,Unbiased expression of complexity 8,float,(6.62717 - x_1)*log(6.62717 - x_0)/((6.62717 - x_0)*log(x_0)),syneq_1291,Others,"[[0.35721366615651257, 0.9999999992406197], [-998.989898989899, 1001.010101010101]]"
SynEq,syneq_327,Unbiased expression of complexity 4,float,-sqrt(x_0) - x_0,syneq_1292,Others,"[[1.010103861229041e-10, 1001.010101010101]]"
SynEq,syneq_328,Unbiased expression of complexity 11,float,log(2*x_0 + x_0/(x_0 + log(x_0)) + log(x_0) + cos(log(x_0))),syneq_1293,Others,"[[0.6872607174373115, 1001.010101010101]]"
SynEq,syneq_329,Unbiased expression of complexity 15,float,-sqrt(x_1)*x_2 - x_1 + (-x_0 + log(x_0) + x_2/x_1)/log(x_0) + log(x_0) + x_2/x_1,syneq_1294,Others,"[[1.010103861229041e-10, 1001.010101010101], [2.7010101038612275e-07, 1001.010101010101], [-998.989898989899, 1001.010101010101]]"
SynEq,syneq_330,Unbiased expression of complexity 6,float,-x_0*x_1 + x_0*(x_0 + sqrt(x_1)),syneq_1295,Others,"[[-998.989898989899, 1001.010101010101], [1.010103861229041e-10, 1001.010101010101]]"
SynEq,syneq_331,Unbiased expression of complexity 15,float,(sqrt(x_0) + log(x_0) + 1/(sqrt(x_0)*log(x_0)))/log(x_0) + cos(log(x_0)),syneq_1296,Others,"[[1.00000000070213, 1001.010101010101]]"
SynEq,syneq_332,Unbiased expression of complexity 7,float,(-x_0*x_1 + log(x_1))/(x_0*sin(x_0)**2),syneq_1297,Others,"[[138.23007675818954, 140.85609134751175], [4.037019607494585e-10, 421.38365611010084]]"
SynEq,syneq_333,Unbiased expression of complexity 12,float,(-sqrt(x_1) + sqrt(x_1)/(x_0*x_2))*sin(x_0*x_1)*cos(x_1),syneq_1298,Others,"[[-998.989898989899, 1001.010101010101], [1.010103861229041e-10, 1001.010101010101], [-998.989898989899, 1001.010101010101]]"
SynEq,syneq_334,Unbiased expression of complexity 11,float,sqrt(x_0) + x_0*x_1**2 - (x_0 + x_1)/x_0 + cos(x_0)/x_0,syneq_1299,Others,"[[1.010101038612291e-08, 1001.010101010101], [-998.989898989899, 1001.010101010101]]"
SynEq,syneq_335,Unbiased expression of complexity 6,float,(sqrt(x_1) + x_1 + x_1/x_0)/x_0,syneq_13,Others,"[[-998.989898989899, 1001.010101010101], [1.010103861229041e-10, 1001.010101010101]]"
SynEq,syneq_336,Unbiased expression of complexity 4,float,-x_0/x_1 + log(log(x_2)),syneq_130,Others,"[[-998.989898989899, 1001.010101010101], [-998.989898989899, 1001.010101010101], [1.0000000001010105, 1001.010101010101]]"
SynEq,syneq_337,Unbiased expression of complexity 15,float,x_0**2/x_1 + x_0 - x_1 + sqrt(1/x_1)*Abs(x_0) + cos(x_1) - cos(x_0/x_1),syneq_1300,Others,"[[-998.989898989899, 1001.010101010101], [6.101010103861229e-07, 1001.010101010101]]"
SynEq,syneq_338,Unbiased expression of complexity 4,float,sin(2*x_0 + log(x_1)),syneq_1301,Others,"[[-998.989898989899, 1001.010101010101], [1.010103861229041e-10, 1001.010101010101]]"
SynEq,syneq_339,Unbiased expression of complexity 5,float,sqrt(1/x_0) + 1/x_0,syneq_1302,Others,"[[1.010103861229041e-10, 1001.010101010101]]"
SynEq,syneq_340,Unbiased expression of complexity 5,float,x_0*log(x_0)/x_1 - log(x_0),syneq_1303,Others,"[[9.125926681008423e-10, 164.03106922891442], [1.766693458193913e-10, 1001.010101010101]]"
SynEq,syneq_341,Unbiased expression of complexity 13,float,-x_0**(3/2)/(sqrt(x_0) - x_0) + sqrt(x_0) + exp(x_0) + cos(x_0),syneq_1304,Others,"[[2.6170682660504925, 6.8490463067470975]]"
SynEq,syneq_342,Unbiased expression of complexity 8,float,x_0*sqrt(x_2)/x_1 + 2*x_1**2 + x_1,syneq_1305,Others,"[[-998.989898989899, 1001.010101010101], [-998.989898989899, 1001.010101010101], [1.010103861229041e-10, 1001.010101010101]]"
SynEq,syneq_343,Unbiased expression of complexity 15,float,(log(x_0) + (-x_1 + log(x_0))/x_0)*(-x_1 + log(x_0) + sin(cos(x_1 - log(x_0))))*log(x_1),syneq_1306,Others,"[[9.101010103861232e-07, 1001.010101010101], [1.010103861229041e-10, 983.010101010101]]"
SynEq,syneq_344,Unbiased expression of complexity 5,float,x_0 + cos(x_2) + log(x_2)/x_1,syneq_1307,Others,"[[-998.989898989899, 1001.010101010101], [-998.989898989899, 1001.010101010101], [1.010103861229041e-10, 1001.010101010101]]"
SynEq,syneq_345,Unbiased expression of complexity 4,float,-1 + 1/sqrt(x_0),syneq_1308,Others,"[[1.010103861229041e-10, 1001.010101010101]]"
SynEq,syneq_346,Unbiased expression of complexity 5,float,-sqrt(x_0) + x_0 + 1/x_1,syneq_1309,Others,"[[3.6689584703708533e-10, 410.086816950262], [1.4779288903810084e-11, 1001.010101010101]]"
SynEq,syneq_347,Unbiased expression of complexity 13,float,x_0/x_1 + x_1*x_2 - sin(sqrt(x_1) - sin(x_1)) + sqrt(x_1)/x_0,syneq_131,Others,"[[-998.989898989899, 1001.010101010101], [1.010101038612291e-08, 1001.010101010101], [-998.989898989899, 1001.010101010101]]"
SynEq,syneq_348,Unbiased expression of complexity 7,float,x_0*log(x_0)/(-0.110453666343774*log(x_0) - 1.0),syneq_1310,Others,"[[0.00011697290312895348, 1001.010101010101]]"
SynEq,syneq_349,Unbiased expression of complexity 8,float,-0.161260115096748*x_0/(x_1*(-x_1 - exp(x_0) + log(x_1))),syneq_1311,Others,"[[-998.989898989899, 1001.010101010101], [6.986211033920881, 1001.010101010101]]"
SynEq,syneq_350,Unbiased expression of complexity 8,float,-x_0*exp(x_0) + x_1*exp(x_0)/sqrt(x_0),syneq_1312,Others,"[[1.010103861229041e-10, 19.220101010101015], [-118.98989898989899, 284.11010101010106]]"
SynEq,syneq_351,Unbiased expression of complexity 13,float,-x_0**2 - x_0**2/(x_0*cos(x_0) + sqrt(-x_0)) - x_0 + cos(x_0),syneq_1313,Others,"[[-805.78326186411, -805.3661578850092]]"
SynEq,syneq_352,Unbiased expression of complexity 9,float,sqrt(x_0) - (x_0 + x_1)*(x_0 + cos(x_1))/sin(x_1),syneq_1314,Others,"[[1.8923174138762988e-10, 751.8110474887435], [339.2920065886462, 342.25884064733765]]"
SynEq,syneq_353,Unbiased expression of complexity 11,float,sqrt(x_0*sin(x_0))*(sqrt(x_0)/x_1 + sin(x_0) - 3.05906),syneq_1315,Others,"[[1.010103861229041e-10, 3.14159265010101], [-998.989898989899, 1001.010101010101]]"
SynEq,syneq_354,Unbiased expression of complexity 5,float,0.470400075264012*x_0 + sqrt(8.38001747655857 - x_0),syneq_1316,Others,"[[-1100.0, 8.380017469999995]]"
SynEq,syneq_355,Unbiased expression of complexity 14,float,(x_0*log(x_1)*log(log(x_1))/x_1**2 + x_1 - log(x_1)/x_1)/(x_0*log(x_1)),syneq_1317,Others,"[[-998.989898989899, 1001.010101010101], [1.0000000001010105, 1001.010101010101]]"
SynEq,syneq_356,Unbiased expression of complexity 15,float,-x_0**2/x_1 + x_0**2*sin(x_0)/(x_1*(x_0**2/x_1 + 4.21498)) + log(x_0)*sin(x_0),syneq_1318,Others,"[[1.010103861229041e-10, 1001.010101010101], [-998.989898989899, 1001.010101010101]]"
SynEq,syneq_357,Unbiased expression of complexity 10,float,(cos(1/x_0) - 1/x_0)*cos(1/x_0)/sqrt(x_0),syneq_1319,Others,"[[2.201010103861226e-07, 1001.010101010101]]"
SynEq,syneq_358,Unbiased expression of complexity 5,float,sqrt(x_0)*(x_0 + x_1 + 6.15202),syneq_132,Others,"[[1.010103861229041e-10, 1001.010101010101], [-998.989898989899, 1001.010101010101]]"
SynEq,syneq_359,Unbiased expression of complexity 11,float,x_0*(-x_0 + 1/x_0) + (2*x_0**2 - sin(x_0))/sqrt(x_0),syneq_1320,Others,"[[1.010103861229041e-10, 1001.010101010101]]"
SynEq,syneq_360,Unbiased expression of complexity 13,float,(sqrt(log(x_0)) + sin(x_0))*(-x_0**2 + sqrt(log(x_0)) + sin(x_0)),syneq_1321,Others,"[[1.0000000001010105, 1001.010101010101]]"
SynEq,syneq_361,Unbiased expression of complexity 15,float,x_0*(x_1 + log(x_1))*(x_1*x_2 + x_1)*(x_0*(x_1*x_2 + x_1)*exp(-x_1) - x_1)*exp(-x_1),syneq_1322,Others,"[[-537.751110299899, 546.3852133301008], [1.010103861229041e-10, 1001.010101010101], [-545.3152111198988, 506.4544322301009]]"
SynEq,syneq_362,Unbiased expression of complexity 12,float,(-x_1 + 1/(x_1*(x_0 - x_1 + x_2 - log(x_2))))*(x_0 - x_1 + x_2 - log(x_2)),syneq_1323,Others,"[[-998.989898989899, 1001.010101010101], [-998.989898989899, 1001.010101010101], [1.010103861229041e-10, 1001.010101010101]]"
SynEq,syneq_363,Unbiased expression of complexity 15,float,(-x_0 + sqrt(4.33264*x_0 + sin(x_0) + 18.7717693696) - cos(sin(x_0)) + 4.33264)/(cos(sin(x_0)) - 4.33264),syneq_1324,Others,"[[-4.101833839324854, 818.1932172543591]]"
SynEq,syneq_364,Unbiased expression of complexity 8,float,log(1/x_0) + (-x_1 + log(x_2))*(x_1 - 5.783)/x_0,syneq_1325,Others,"[[6.001010103861229e-07, 1001.010101010101], [-998.989898989899, 1001.010101010101], [1.010103861229041e-10, 1001.010101010101]]"
SynEq,syneq_365,Unbiased expression of complexity 4,float,x_0*x_1 - 4.57447*log(x_0),syneq_1326,Others,"[[1.010103861229041e-10, 1001.010101010101], [-998.989898989899, 1001.010101010101]]"
SynEq,syneq_366,Unbiased expression of complexity 5,float,x_0 + log(x_2) + cos(cos(x_1)),syneq_1327,Others,"[[-998.989898989899, 1001.010101010101], [-998.989898989899, 1001.010101010101], [1.010103861229041e-10, 1001.010101010101]]"
SynEq,syneq_367,Unbiased expression of complexity 6,float,-x_0 + x_1 + x_2 + sqrt(1 - x_2),syneq_1328,Others,"[[-1100.0, 900.0], [-1100.0, 900.0], [-1100.0, 1.0]]"
SynEq,syneq_368,Unbiased expression of complexity 12,float,-x_0*(exp(x_0) + exp(log(x_0)/x_0) - log(x_0)) + x_0/(x_0 + exp(x_0)),syneq_1329,Others,"[[1.010103861229041e-10, 20.028685410101026]]"
SynEq,syneq_369,Unbiased expression of complexity 4,float,(x_0 + exp(x_0))*log(x_0),syneq_133,Others,"[[1.010103861229041e-10, 21.898834720101053]]"
SynEq,syneq_370,Unbiased expression of complexity 5,float,1.54537819250759/(x_0*sqrt(x_1)*x_2),syneq_1330,Others,"[[-998.989898989899, 1001.010101010101], [1.010103861229041e-10, 1001.010101010101], [-998.989898989899, 1001.010101010101]]"
SynEq,syneq_371,Unbiased expression of complexity 15,float,(x_0 - x_1 + 1/(x_0*log(x_0)))*(-x_0 + x_2/x_0 - 1/x_0 + 1/(x_0*log(x_0)**2)),syneq_1331,Others,"[[1.0004780101010116, 1001.010101010101], [-998.989898989899, 1001.010101010101], [-998.989898989899, 1001.010101010101]]"
SynEq,syneq_372,Unbiased expression of complexity 6,float,x_0*(x_0/x_1 - x_1)/sqrt(x_1),syneq_1332,Others,"[[-998.989898989899, 974.010101010101], [6.101010101038615e-05, 1001.010101010101]]"
SynEq,syneq_373,Unbiased expression of complexity 14,float,x_1/x_2 + (x_0 + sqrt(x_2))*(x_1**2*(x_0 + sqrt(x_2)) + sqrt(x_2)),syneq_1333,Others,"[[-337.0841320198989, 313.01010111010106], [-302.30190898989895, 303.2101020101011], [1.010101038612291e-08, 653.4701010101008]]"
SynEq,syneq_374,Unbiased expression of complexity 5,float,sqrt(x_0)*(-x_0 + 2*x_1),syneq_1334,Others,"[[1.010103861229041e-10, 1001.010101010101], [-998.989898989899, 1001.010101010101]]"
SynEq,syneq_375,Unbiased expression of complexity 11,float,x_0*x_1**4*log(x_0)/(2*x_0 + 4*x_1 + 4*log(x_0)),syneq_1335,Others,"[[3.2886049439184717e-10, 99.43522412010101], [21.83538748434006, 461.01010101010104]]"
SynEq,syneq_376,Unbiased expression of complexity 8,float,sqrt(x_0)*cos(x_0) + log(sqrt(x_0)),syneq_1336,Others,"[[1.010103861229041e-10, 1001.010101010101]]"
SynEq,syneq_377,Unbiased expression of complexity 14,float,(1/x_0 - 1/x_0**2)*(x_0**(3/2) - sqrt(x_0) + 1) - 1/x_0**2,syneq_1337,Others,"[[1.413010101038612e-05, 1001.010101010101]]"
SynEq,syneq_378,Unbiased expression of complexity 11,float,(x_0 + log(x_1)/x_1)*(-sqrt(x_0) + x_1 + (x_0 - x_2)/x_1**2),syneq_1338,Others,"[[1.010103861229041e-10, 983.010101010101], [0.004101010101010386, 1001.010101010101], [-962.989898989899, 1001.010101010101]]"
SynEq,syneq_379,Unbiased expression of complexity 5,float,-x_0 - x_1 + exp(x_0) + log(x_2),syneq_1339,Others,"[[-998.989898989899, 23.02585088010104], [-998.989898989899, 1001.010101010101], [1.010103861229041e-10, 1001.010101010101]]"
SynEq,syneq_380,Unbiased expression of complexity 13,float,4.97242*x_1*((x_1 + 4.97242)/(sin(4.97242/x_0) - 4.97242) + 4.97242)*log(x_1)/(x_0*log(x_2)),syneq_134,Others,"[[-998.989898989899, 1001.010101010101], [1.010103861229041e-10, 1001.010101010101], [1.010103861229041e-10, 1001.010101010101]]"
SynEq,syneq_381,Unbiased expression of complexity 13,float,-x_0 - (sqrt(log(x_0) + log(log(x_0))) + log(x_0))/log(log(x_0)),syneq_1340,Others,"[[2.718281828780391, 1003.030303030303]]"
SynEq,syneq_382,Unbiased expression of complexity 9,float,log(log(x_0))/(x_0*(-x_1 + sin(x_1) + cos(x_0) - 0.55358)),syneq_1341,Others,"[[1.0000000001010105, 1001.010101010101], [-998.989898989899, 1001.010101010101]]"
SynEq,syneq_383,Unbiased expression of complexity 10,float,sqrt(x_0) - x_0*log(x_1) - x_0 + log(x_1)*cos(x_0),syneq_1342,Others,"[[1.010103861229041e-10, 1001.010101010101], [1.010103861229041e-10, 1001.010101010101]]"
SynEq,syneq_384,Unbiased expression of complexity 7,float,((x_0 - x_1)/x_0 - 1/(x_0*x_1))/log(x_0),syneq_1343,Others,"[[1.0000000001346052, 201.0321156531741], [-37.16824245911323, -7.242952904107369e-10]]"
SynEq,syneq_385,Unbiased expression of complexity 13,float,x_0*(-x_0 - exp(x_0) + exp(exp(x_0))) + (x_0 + exp(x_0))*(x_0 + sin(exp(x_0))),syneq_1344,Others,"[[-1100.0, 3.0864334199999983]]"
SynEq,syneq_386,Unbiased expression of complexity 7,float,sin(cos(x_0)) - 1/sqrt(cos(x_0)),syneq_1345,Others,"[[-102.10176124, -98.96016858999994]]"
SynEq,syneq_387,Unbiased expression of complexity 14,float,sqrt(x_0)*(sqrt(x_0) - x_1)**2/x_1**2 - log(x_1)/(x_2*cos(x_1)),syneq_1346,Others,"[[1.010103861229041e-10, 992.010101010101], [0.00010101010101038616, 1001.010101010101], [-989.989898989899, 992.010101010101]]"
SynEq,syneq_388,Unbiased expression of complexity 13,float,sqrt(x_0)*sin(x_0)*cos(x_1) - x_2*log(x_2) + log(x_2) - cos(x_1),syneq_1347,Others,"[[1.010103861229041e-10, 1001.010101010101], [-998.989898989899, 1001.010101010101], [1.010103861229041e-10, 1001.010101010101]]"
SynEq,syneq_389,Unbiased expression of complexity 6,float,x_1*exp(x_0*x_2)/x_2**(3/2),syneq_1348,Others,"[[-998.989898989899, 11.01010101010101], [-246.369721299899, 212.14008504010104], [2.9101010103861195e-06, 2.0101010101010104]]"
SynEq,syneq_390,Unbiased expression of complexity 5,float,x_0*x_2 - x_0 - 2.29013*log(x_1),syneq_1349,Others,"[[-998.989898989899, 1001.010101010101], [1.010103861229041e-10, 1001.010101010101], [-998.989898989899, 1001.010101010101]]"
SynEq,syneq_391,Unbiased expression of complexity 12,float,sqrt(x_0) + x_0 + sin(sqrt(x_0) - x_0)/(sqrt(x_0) - x_0),syneq_135,Others,"[[22.692372157186753, 514.943754113091]]"
SynEq,syneq_392,Unbiased expression of complexity 4,float,-6.66796/sqrt(x_0),syneq_1350,Others,"[[1.010103861229041e-10, 1001.010101010101]]"
SynEq,syneq_393,Unbiased expression of complexity 11,float,exp(2*x_0)*log(x_0)/((x_0 + log(x_0))*(exp(x_0) + log(x_0))),syneq_1351,Others,"[[0.5671432911422087, 17.03259975399319]]"
SynEq,syneq_394,Unbiased expression of complexity 14,float,(x_0**(3/2)*exp(x_0) + exp(x_0))*(x_0**(3/2)*exp(x_0) - x_0 + exp(x_0)),syneq_1352,Others,"[[1.010103861229041e-10, 8.297967260100998]]"
SynEq,syneq_395,Unbiased expression of complexity 10,float,-x_1 + log(x_2) + log(cos(x_0)) - cos(-x_1 + x_2 + cos(x_0)),syneq_1353,Others,"[[-1.57079631989899, 1.5707963201010111], [-998.989898989899, 1001.010101010101], [1.010103861229041e-10, 1001.010101010101]]"
SynEq,syneq_396,Unbiased expression of complexity 6,float,((-x_1 + x_2)/log(x_0) - 1/x_2)/x_1,syneq_1354,Others,"[[1.010103861229041e-10, 1001.010101010101], [-998.989898989899, 1001.010101010101], [-998.989898989899, 1001.010101010101]]"
SynEq,syneq_397,Unbiased expression of complexity 11,float,sqrt(x_0) - x_1 + exp(x_0) - sin(sqrt(x_0) + 8.89771) - 8.89771,syneq_1355,Others,"[[1.010103861229041e-10, 23.02585088010104], [-998.989898989899, 1001.010101010101]]"
SynEq,syneq_398,Unbiased expression of complexity 4,float,-x_0 - 19.221349801919*log(x_1),syneq_1356,Others,"[[-998.989898989899, 1001.010101010101], [1.010103861229041e-10, 1001.010101010101]]"
SynEq,syneq_399,Unbiased expression of complexity 5,float,(x_0 + 1/x_1)/sqrt(x_0),syneq_1357,Others,"[[1.010103861229041e-10, 1001.010101010101], [-998.989898989899, 1001.010101010101]]"
SynEq,syneq_400,Unbiased expression of complexity 8,float,sqrt(x_0)*(sqrt(x_0) + cos(x_0)) - x_0,syneq_1358,Others,"[[1.010103861229041e-10, 1001.010101010101]]"
SynEq,syneq_401,Unbiased expression of complexity 4,float,1/(sqrt(x_0) - x_0),syneq_1359,Others,"[[38.22106358028282, 1001.010101010101]]"
SynEq,syneq_402,Unbiased expression of complexity 5,float,x_0*sqrt(x_1) - sin(x_0),syneq_136,Others,"[[-998.989898989899, 1001.010101010101], [1.010103861229041e-10, 1001.010101010101]]"
SynEq,syneq_403,Unbiased expression of complexity 10,float,(x_0 + 6.15212)*(-sqrt(x_0) - x_0 + 1/x_0)/sin(x_0 + 6.15212),syneq_1360,Others,"[[135.12982250375464, 135.2195494114852]]"
SynEq,syneq_404,Unbiased expression of complexity 6,float,-7.00623*x_1*(x_0 + sqrt(x_2)),syneq_1361,Others,"[[-998.989898989899, 1001.010101010101], [-998.989898989899, 1001.010101010101], [1.010103861229041e-10, 1001.010101010101]]"
SynEq,syneq_405,Unbiased expression of complexity 7,float,-x_0*sin(x_0) + x_0 + sin(log(sin(x_0))),syneq_1362,Others,"[[-100.53096490999997, -97.38937227000008]]"
SynEq,syneq_406,Unbiased expression of complexity 6,float,sqrt(x_0 - 3.68831)/(x_0 + x_1) - 3.68831,syneq_1363,Others,"[[3.688310000505052, 1005.0505050505051], [-994.9494949494949, 1005.0505050505051]]"
SynEq,syneq_407,Unbiased expression of complexity 9,float,x_0*sqrt(x_1)*(x_0**(3/2) - sqrt(x_0)),syneq_1364,Others,"[[1.010103861229041e-10, 1001.010101010101], [1.010103861229041e-10, 1001.010101010101]]"
SynEq,syneq_408,Unbiased expression of complexity 12,float,-log(x_0) + sin(log(x_0)) + cos((x_0 + sin(log(x_0)))/sin(log(x_0))),syneq_1365,Others,"[[1.010103861229041e-10, 1001.010101010101]]"
SynEq,syneq_409,Unbiased expression of complexity 13,float,-x_1 - x_2 + (-x_0 + x_1 + x_2 + log(x_1) + cos(x_1))/(-x_0 + x_1 + x_2 + cos(x_1)),syneq_1366,Others,"[[-998.989898989899, 1001.010101010101], [1.010103861229041e-10, 1001.010101010101], [-998.989898989899, 1001.010101010101]]"
SynEq,syneq_410,Unbiased expression of complexity 12,float,(2*x_1 + 8.1115)*log(x_0)**2 - (11106043.7490225*exp(x_1) + 27032.1670440624)*exp(x_1)/x_1,syneq_1367,Others,"[[1.010103861229041e-10, 902.010101010101], [-829.998698989899, 4.107856080101008]]"
SynEq,syneq_411,Unbiased expression of complexity 15,float,(sqrt(x_0) - x_1)/(x_0*(-sqrt(x_0) + 1/(sqrt(x_0) - x_0))*cos(1/x_0)),syneq_1368,Others,"[[1.010103861229041e-10, 1001.010101010101], [-998.989898989899, 1001.010101010101]]"
SynEq,syneq_412,Unbiased expression of complexity 11,float,-x_0*(x_0 + x_2) + x_0 + x_1 + 1.0*cos(x_0)/(x_1*sqrt(x_2)),syneq_1369,Others,"[[-998.989898989899, 1001.010101010101], [-998.989898989899, 1001.010101010101], [1.010103861229041e-10, 1001.010101010101]]"
SynEq,syneq_413,Unbiased expression of complexity 7,float,x_0 + x_1**(3/2)*cos(x_1) - x_1 - 4.57684,syneq_137,Others,"[[-998.989898989899, 1001.010101010101], [1.010103861229041e-10, 1001.010101010101]]"
SynEq,syneq_414,Unbiased expression of complexity 7,float,(x_0*x_1 + x_1 + x_2)*log(x_1)/(x_0*x_1),syneq_1370,Others,"[[-998.989898989899, 1001.010101010101], [1.0101010103861233e-06, 1001.010101010101], [-998.989898989899, 1001.010101010101]]"
